epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,10980.1,3.28152,2.29758,1.82721,0.43722,0.33585,0.33018,0.19431,3.1212,2.23657,1.81209,0.000197992,0.000197992,0.000197992
75,11127.4,3.28212,2.29658,1.82924,0.44757,0.33684,0.33104,0.19535,3.11024,2.23134,1.81167,0.000190924,0.000190924,0.000190924
76,11276.2,3.28136,2.28595,1.82927,0.44325,0.34373,0.33245,0.1951,3.10623,2.22495,1.81101,0.000183855,0.000183855,0.000183855
77,11424.5,3.27012,2.27974,1.82624,0.43774,0.34392,0.33281,0.19533,3.10945,2.22074,1.81134,0.000176786,0.000176786,0.000176786
78,11571.6,3.27412,2.27661,1.82752,0.43413,0.34068,0.33296,0.19634,3.10427,2.22122,1.81096,0.000169718,0.000169718,0.000169718
79,11719.4,3.24234,2.2564,1.82882,0.43571,0.34586,0.33247,0.19586,3.10691,2.22274,1.81073,0.000162649,0.000162649,0.000162649
80,11867.8,3.26102,2.26541,1.82574,0.44488,0.33949,0.33307,0.19526,3.10482,2.21568,1.81009,0.000155581,0.000155581,0.000155581
81,12015.9,3.25382,2.25349,1.82377,0.44303,0.34206,0.336,0.19708,3.10316,2.21854,1.81003,0.000148512,0.000148512,0.000148512
82,12163.9,3.24941,2.25505,1.82459,0.44383,0.34537,0.33513,0.19717,3.09912,2.21714,1.81069,0.000141443,0.000141443,0.000141443
83,12312,3.26693,2.26826,1.82634,0.44754,0.34276,0.33336,0.19616,3.10454,2.21734,1.81012,0.000134375,0.000134375,0.000134375
84,12459.7,3.24379,2.24124,1.82207,0.45121,0.34356,0.33462,0.19751,3.10096,2.20898,1.81011,0.000127306,0.000127306,0.000127306
85,12607.8,3.23055,2.24263,1.82248,0.44327,0.34552,0.33466,0.19698,3.10054,2.2123,1.81025,0.000120238,0.000120238,0.000120238
86,12755.4,3.23586,2.23403,1.82309,0.44789,0.33979,0.33396,0.19679,3.09529,2.21228,1.80924,0.000113169,0.000113169,0.000113169
87,12902.8,3.23264,2.23219,1.82501,0.44872,0.34285,0.3356,0.19789,3.098,2.21468,1.80904,0.0001061,0.0001061,0.0001061
